make,price_per_mile,car_count
Chrysler,185.91,7
Lexus,76.59,12
Audi,26.36,24
Ferrari,14.13,1
Hyundai,9.88,146
Nissan,8.91,130
"Land Rover",5.85,6
Infiniti,4.03,150
BMW,3.99,195
Jaguar,3.18,2
Porsche,2.94,7
Volvo,2.43,14
Mercedes-Benz,2.42,32
Cadillac,1.99,10
Kia,1.28,66
Jeep,1.03,7
Subaru,1.03,6
Scion,1.02,5
Buick,0.92,5
Acura,0.82,30
Toyota,0.66,52
Chevrolet,0.64,84
Ford,0.54,90
MINI,0.54,9
Mazda,0.44,17
Honda,0.44,33
Lincoln,0.43,2
Mitsubishi,0.41,7
Volkswagen,0.41,28
Dodge,0.30,13
FIAT,0.29,2
